design,f_res_THz,detuning_GHz,eta_atom,beta_wg,Q,kappa_tot_2pi_GHz,C_atom,Vmode_lambda_n3,g_2pi_GHz_at_250nm,source
design_1,385.2411147100438,1010.5269813805,0.0826960290484849,0.08746721783671474,1137.0497478294185,338.8076163294116,21.223065965936897,0.6635400839497212,3.3023517404409812,/home/ma-lab/Desktop/atomTrap/invDesResults/full_seed/verification/baseline_design1.hdf5
invDes(design_1),383.93901459490814,-291.5731337551875,0.2776680741854072,0.2866987621207299,1778.0247750958802,215.93569446983898,45.04892516424298,0.6099715059055592,3.8410248803997074,/home/ma-lab/Desktop/atomTrap/invDesResults/full/verification/final_design.hdf5
seed,383.6151300026418,-615.4577260215,0.08762603174452503,0.08851133106962078,27116903.921507288,0.014146715683805787,471071.2287039963,0.8180443889643573,3.179170261680557,/home/ma-lab/Desktop/atomTrap/invDesResults/full_seed/verification/seed_design.hdf5
invDes(seed),384.53412429235425,303.5365636909375,0.8338070372556441,0.8753784945772534,12600.430166379303,30.517539418485505,25.407257032328943,0.8581345693383572,1.0844170378672278,/home/ma-lab/Desktop/atomTrap/invDesResults/full_seed/verification/final_design.hdf5
final,384.23059416839163,0.0064397283125,0.8422820442081338,0.8855922559350748,11990.132458280239,32.045567094886145,24.446362544621422,0.8742412165180282,1.0900183007413253,/home/ma-lab/Desktop/atomTrap/publication_ready/verification/final_trimmed.hdf5
