axis,value,f_res_THz,detuning_GHz,Q,kappa_tot_2pi_GHz,beta_wg,C_atom,eta_atom,Vmode_lambda_n3
run_time_s,8e-12,384.23059416839163,0.0064397283125,11990.132458280239,32.045567094886145,0.8855922559350748,24.446362544621422,0.8422820442081338,0.8742412165180282
run_time_s,1.2e-11,384.2305998271156,0.0120984523125,11985.999867815472,32.05661639116505,0.980757360503253,3.1977050217252416,0.7396448757924936,0.04718985163475639
