hole_index,section,x_center_um,lattice_a_nm,sx_nm,sy_nm
0,left_taper,-8.689136467331354,259.36241656733256,29.23768591829501,29.45571157142165
1,left_taper,-8.424131267619215,270.64798285694184,69.48002981078774,78.07512460634344
2,left_taper,-8.147676115260145,282.2623218612025,92.77992823485638,129.63373461688087
3,left_taper,-7.859215734815133,294.6584390288186,144.92996778489817,202.97254991284055
4,left_taper,-7.557633402028333,308.5062265447801,240.0300526140599,284.3279559277986
5,left_mirror(output),-7.247980561305784,310.79945490031855,234.6179854592637,290.7926254867671
6,left_mirror(output),-6.935849954049264,313.4617596127238,231.1574378819716,293.6782167203617
7,left_mirror(output),-6.621453984208284,315.33018006923606,229.50900334850377,296.70589994103784
8,left_mirror(output),-6.305560111381575,316.4575655841811,228.96780023908792,298.09616630464865
9,defect,-5.988617916590337,317.4268239982968,227.9976483261504,297.5086164420944
10,defect,-5.670763824556764,318.2813600688471,226.1326315800638,294.3415997418754
11,defect,-5.3523219156576385,318.6024577294041,224.28441181235615,289.5577395664254
12,defect,-5.033872482906154,318.2964077735659,222.59263877439088,283.27367036430843
13,defect,-4.716056855911117,317.33484621650894,221.1853091481746,278.2201907670607
14,defect,-4.399615612054756,315.547641496213,221.54310535510248,277.627970093894
15,defect,-4.0851316844572905,313.42021369871844,215.32603623718884,280.3338842823174
16,defect,-3.7723020861275085,312.23898296084496,218.3866893157469,276.39043088721644
17,defect,-3.461606352231178,309.15248483181784,218.15938354801898,271.7829721322922
18,defect,-3.1523072679230855,309.4456837843663,214.2870102584473,266.70157546341426
19,defect,-2.8441942095038377,306.78043305413075,220.82198464525575,255.6678637573291
20,defect,-2.5401868230416556,301.2343398702347,211.50112100809906,241.76265032571695
21,defect,-2.2404272249101687,298.28485639273924,205.33599182112124,230.63293119767633
22,defect,-1.942084083484628,298.4014264583416,208.78988834759824,231.31760113511902
23,defect,-1.6453973485145488,294.97204348181657,201.16714613706023,220.89780505893833
24,defect,-1.3479389849265369,299.9446836942069,202.72251291700468,217.5712641880172
25,defect,-1.0479580145549174,300.01725704903293,199.29154722611213,209.60963794611783
26,defect,-0.748903711093197,298.0913498744079,199.20413298010376,204.5582741753159
27,defect,-0.4504144077117793,298.8872568884292,192.36377125510873,193.78977367535006
28,defect,-0.15054987261388825,300.8418133073519,189.68945023909185,191.11049950413837
29,defect,0.15054987261389002,301.35767714820423,188.73627301280987,188.86314642348447
30,defect,0.4536177815093166,304.7781406426465,185.51396387104643,192.20554191336916
31,defect,0.7575062037370769,302.99870381287747,195.43224409726145,204.52131756856767
32,defect,1.0628810056516316,307.75090001622965,190.59830229858252,203.22243376317553
33,defect,1.374888498852503,316.2640863855149,187.4351068027701,208.53318530753646
34,defect,1.6913280265957875,316.6149691010531,177.30592047248888,207.4456966038229
35,defect,2.0094026684415587,319.5343145904882,187.27122999214882,217.7401441979843
36,defect,2.3314657784289534,324.591905384303,183.1843108424291,220.7949779362844
37,defect,2.6593283219489856,331.1331816557615,183.96155542052088,231.22198663600923
38,defect,2.9863552983397943,322.9207711258564,187.84783799897755,241.0795869679835
39,defect,3.3095112704369902,323.39117306853603,190.59037172890865,251.408116855785
40,defect,3.634484032471336,326.55435100015455,194.09610593931572,263.85606705179583
41,defect,3.9660913781701885,336.6603403975498,199.82788058253595,274.4711135036317
42,defect,4.304268675056799,339.69425337567134,185.44336067754884,266.8896807477687
43,defect,4.642550725937192,336.869848385115,183.96415582953588,270.09826162772276
44,defect,4.980155221018715,338.33914177793133,185.84366742952994,278.9697894187232
45,defect,5.319588849548591,340.5281152818228,195.43265066047826,282.3106630356509
46,defect,5.6612097912305,342.71376808199403,197.28409975700453,277.18094292661095
47,defect,6.002046393740187,338.9594369373778,199.1252763677771,271.39521416542647
48,defect,6.3391653280202656,335.2784316227796,202.29350382491035,268.9339053516001
49,right_mirror(back),6.674817596872652,336.0261060819954,201.42787587597806,259.8537264972857
50,right_mirror(back),7.010910518750663,336.15973767402494,209.75120895392217,260.8818826582333
51,right_mirror(back),7.346906504936648,335.8322346979456,222.69865543934722,265.51352659105646
52,right_mirror(back),7.683617010042122,337.5887755130053,231.28239575391572,269.99335707392106
53,right_mirror(back),8.02203149582489,339.2401960525329,234.32987205751567,272.89287192811116
54,right_mirror(back),8.362036450677795,340.76971365328365,230.90707738033524,270.5124656898312
55,right_mirror(back),8.703797389203075,342.752163397269,198.82777890749372,265.03453856970094
56,right_mirror(back),9.046397210012199,342.44747822097617,194.7025591444668,264.66887381757385
57,right_mirror(back),9.387073995812164,338.9060933789548,195.21157908384197,264.37966273158867
58,right_mirror(back),9.723423584384461,333.7930837656464,198.1507269368502,264.3361215831682
59,right_mirror(back),10.054898496083737,329.15673963290345,240.65682287417442,273.0670643079177
60,right_mirror(back),10.382344558203775,325.7353846071717,236.35259348073174,275.3891830590222
61,right_mirror(back),10.707785763623654,325.1470262325852,240.93365991858795,275.5111759416209
62,right_mirror(back),11.033652552042401,326.5865506049058,233.06871657254572,270.240148001609
63,right_mirror(back),11.36209202313266,330.29239157561244,204.69436546817184,264.9806490543307
64,right_mirror(back),11.692956066841942,331.43569584295074,204.9286365888714,264.4716514543848
65,right_mirror(back),12.024047090045768,330.7463505647008,215.25702299765436,264.50995717442555
66,right_mirror(back),12.355224103480008,331.6076763037785,243.77795054441737,269.88172323077924
67,right_mirror(back),12.687658379248692,333.26087523358717,238.96911860766778,270.7115069390139
68,right_mirror(back),13.021510459187013,334.4432846430489,239.12086912822542,270.97713233337174
69,right_mirror(back),13.355996663120182,334.52912322329485,210.88923584465374,266.10966975011706
70,right_mirror(back),13.690709745628169,334.8970417926752,202.5148460857076,265.08370917592106
71,right_mirror(back),14.026882509426654,337.4484858042989,202.42397995000914,264.7526071317346
72,right_mirror(back),14.364930823043299,338.6481414289871,203.9212192246664,264.5061400788457
73,right_mirror(back),14.703339784624543,338.1697817335082,235.00390419250235,265.38858945811995
74,right_mirror(back),15.041472479350869,338.09560771914244,228.79196409596713,265.58822419476365
75,right_mirror(back),15.38060835162595,340.17613683101655,227.0221418739675,266.07409972736144
76,right_mirror(back),15.721908225056383,342.42361002985217,187.83693717123597,264.3816047805591
77,right_mirror(back),16.06515843350041,344.0768068581944,186.59093030316552,264.39287193569066
78,right_mirror(back),16.41087683756963,347.3600012802589,188.21829196213054,264.4340190576436
79,right_taper,16.7600950746906,351.07647296167613,188.69690785072999,264.99679563596175
