sample_id,mode,etch_nm,lattice_nm,width_nm,f_res_THz,detuning_unretuned_GHz,detuning_retuned_GHz,retune_scale,Q,beta_wg,C_atom,eta_atom,hdf5
e+0_l+0_w+0,corner,0.0,0.0,0.0,384.23059416839163,0.0064397283125,0.0,1.0000000167600616,11990.132458280239,0.8855922559350748,24.446362544621422,0.8422820442081338,tol_e+0_l+0_w+0
e-4_l-2_w-10,corner,-4.0,-2.0,-10.0,384.96105448545126,730.4667567879375,0.0,1.0019011155803759,16857.40953472028,0.882360226132629,36.49701252725587,0.8502404579904517,tol_e-4_l-2_w-10
e-4_l-2_w+10,corner,-4.0,-2.0,10.0,382.3020520955367,-1928.535633126625,0.0,0.9949807857710471,17474.841478243892,0.8861377343964585,42.57186526863291,0.8571423473734537,tol_e-4_l-2_w+10
e-4_l+2_w-10,corner,-4.0,2.0,-10.0,380.99264455663075,-3237.9431720325624,0.0,0.9915729166926212,16293.761878280857,0.8738791818629442,38.43859128700607,0.843203998256169,tol_e-4_l+2_w-10
e-4_l+2_w+10,corner,-4.0,2.0,10.0,378.35226720098854,-5878.32052767475,0.0,0.9847010604688612,16976.14242655739,0.8820798314800744,43.95742130893979,0.8538348978892669,tol_e-4_l+2_w+10
e+4_l-2_w-10,corner,4.0,-2.0,-10.0,390.68585029058823,6455.2625619249375,-6.25e-11,1.016800491080329,10362.772685842856,0.8724032016923836,19.446466660525004,0.8214381710708979,tol_e+4_l-2_w-10
e+4_l-2_w+10,corner,4.0,-2.0,10.0,387.885808016783,3655.2202881196877,0.0,1.0095130903287193,10959.710043631158,0.8802012255147211,19.681790604128253,0.8292655687440146,tol_e+4_l-2_w+10
e+4_l+2_w-10,corner,4.0,2.0,-10.0,386.3564428025293,2125.8550738659374,0.0,1.005532758561552,10934.36035245671,0.8785635421342937,22.812259474971675,0.833251431448092,tol_e+4_l+2_w-10
e+4_l+2_w+10,corner,4.0,2.0,10.0,383.58622521180126,-644.3625168620625,0.0,0.998322979644408,11589.065831020685,0.8859469685150455,22.897345816528233,0.8403852011955162,tol_e+4_l+2_w+10
e-4_l+0_w+0,corner,-4.0,0.0,0.0,381.60629924529457,-2624.28848336875,0.0,0.9931700167368717,16170.963433563024,0.8616849720163735,36.978979070434846,0.8306065358298086,tol_e-4_l+0_w+0
e+4_l+0_w+0,corner,4.0,0.0,0.0,387.07190306209117,2841.315333427875,6.25e-11,1.0073948181747423,10607.872770285183,0.8782890203881376,19.830898821229873,0.8277649582047689,tol_e+4_l+0_w+0
e+0_l-2_w+0,corner,0.0,-2.0,0.0,386.296955392462,2066.3676637986873,6.25e-11,1.0053779364001543,15056.802855602331,0.8565580636846758,30.383776085029062,0.8209723921336467,tol_e+0_l-2_w+0
e+0_l+2_w+0,corner,0.0,2.0,0.0,382.17898668831685,-2051.6010403464375,0.0,0.9946604952706284,15048.97331371744,0.8719198227782519,32.315478224562504,0.8372907270928348,tol_e+0_l+2_w+0
e+0_l+0_w-10,corner,0.0,0.0,-10.0,385.61607039540263,1385.4826667393124,0.0,1.003605862497646,11638.606630230397,0.8909236478497786,25.75271796325536,0.8490452598786092,tol_e+0_l+0_w-10
e+0_l+0_w+10,corner,0.0,0.0,10.0,382.9014886132747,-1329.099115388625,0.0,0.9965408815491618,12266.500771488976,0.8934535409538541,25.37402548501818,0.8509815007729348,tol_e+0_l+0_w+10
